bower/bower,mocha,2012-09-10T17:33:52Z,likely due to something that was already failing [**1) should resolve json dependencies**]:> mocha -r spec -t 10000 --grep packagethe suite i added to should run successfully:> mocha -r spec -t 10000 --grep infounfortunately. there is no way to tell travis that it should only run this delta; further. i did look at the failing test under the "package" suite but was unable to decipher what it was trying to convey; thus. i didn't go any further in trying to fix it.,negative
redux-saga/redux-saga,eslint,2016-11-29T05:25:01Z,docs cleanup: removes reference to unused import . small docs eslint-ish fix. the example code was importing `fork` but the code isn't referencing it.,neutral
jprichardson/electron-mocha,mocha,2015-12-28T19:37:44Z,examples of tests written to leverage electron-mocha. helloit would be great if this project had an `examples` folder containing 2 tests (one for the main process. one for a renderer process) for testing a fictional electron demo app.at the moment i'm a bit stuck in my tests. not knowing how to go further than just testing pure commonjs modules. that is all what is not specific to electron. some things i would like to do:- test a renderer process html view- test a renderer process javascript- show a menu and activate a menu itemthanks a lot,neutral
jprichardson/electron-mocha,mocha,2015-12-31T11:15:46Z,thanks jprichardson for reopening the issue. thanks tscanlin for publishing mocha-electron. i'm going to test mocha-electron too and will report here asap!,positive
jprichardson/electron-mocha,mocha,2016-01-05T07:18:30Z,thanks for the update madarche. and i'm glad you find it useful for websites and web apps. it wasn't intended to be used for electron apps so i would keep using electron-mocha for that as you said. it sounds like both of these tools have their place.,positive
jprichardson/electron-mocha,mocha,2016-01-07T12:08:35Z,since electron-mocha is console focused. maybe it's better to write a separate tool just for that :laughing:,positive
jprichardson/electron-mocha,mocha,2016-01-08T15:35:08Z,rgbkrk i'm sorry the repository you're mentioning doesn't contain the answers i'm looking for. please read my pr if you are interested in what i would like to be able to do.,positive
jprichardson/electron-mocha,mocha,2016-01-08T15:49:59Z,that's ok! your example with tests makes pretty clear sense.,positive
ramda/ramda,jshint,2014-08-27T21:07:10Z,i propose moving all these to a `.jshintrc` for editors that support gutter,positive
ramda/ramda,jshint,2014-08-27T21:38:28Z,> i propose moving all these to a `.jshintrc` for editors that support gutterworks for me. though this can be done in a separate pull request. (i'm not familiar with grunt conventions. but i got the impression it's common to put everything into the gruntfile.),negative
