bower/bower,mocha,2014-04-08T15:22:45Z,request to unregister "vero" and "verso". was looking at mocha and accidentally linked it to the wrong repo,negative
Nordstrom/cfn,standard,2018-06-02T15:46:57Z,andyday something is up with travis. `error couldn't find the binary (standard | snazzy) && nyc mocha`. tests pass locally.,neutral
Nordstrom/cfn,standard,2018-06-05T19:02:34Z,looks like the changes here are fairly small.  formatting changes make it difficult to identify real changes.  i think most (if not all) of this extra noise will go away if you merge in the latest master.  it has similar standardjs formatting changes.  once you've done this i'll take a look.,positive
webtorrent/webtorrent,standard,2016-01-18T14:59:02Z,feross did you reach to bittorrent inc ? making webtorrent as extension to bittorrent protocol would be huge step.the most important adopters are utorrent and libtorrent (rtorrent. deluge etc.). rest really doesn't matter. another thing. where is documentation of protocol which webtorrent uses with implementation details ?this is a must for adoption and i do not see any links in github repo or on webtorrent.io. you need to standardize webtorrent or you will see no adoption at all. if someone would like to implement it in c/c++ then where he should look ? what if he is not familiar with javascript ? in my opinion this is the main reason why you do not see any adoption besides people using your own lib.,neutral
redux-saga/redux-saga,eslint,2018-07-05T15:17:52Z,setup eslint for react. i found that eslint fails to run in examples folder. so i install `eslint-plugin-react` and eslint now will lint the examples folder too. i'll update the code in example folder gradually.,negative
redux-saga/redux-saga,eslint,2018-07-06T07:16:26Z,ok,neutral
redux-saga/redux-saga,eslint,2018-07-06T11:15:40Z,rebased this upon master.,neutral
ramda/ramda,sauce,2015-09-13T12:28:59Z,i think ramda tries to help you write better code by minimising that tge functions themself fail. there is this kind of _monomorphic_(?) approach where a function is super clear with what it expects and what it returns. often one or a couple of simple value in and out. that makes them reliable and makes it easy for you to find your errors. "crap in is crap out" and you can easily guard for that as davidchambers said before.you should not feel limited by the api as well. just use compose your own control flow sauce around the ramda. such as promises. catch. error handling etc. for me. ramda is a library to write quality logic and code. it's not environment biased "making it easy for you to code **in the browser**". `throw new error` is therefor definitely too environment specific.,positive
strongloop/node-foreman,jshint,2016-04-13T18:06:45Z,fix jshint issues. step 1 of getting the build to pass,neutral
strongloop/node-foreman,jshint,2016-04-13T18:06:46Z,can one of the admins verify this patch? to accept patch and trigger a build add comment "._ok\w+to\w+test._",neutral
